"Eggs,Tomato,Milk,Onion"
"Onion,Tomato,Banana,Eggs"
"Milk,Chocolates,MangoJuice,Onion,Eggs"
"Chips,Milk,MangoJuice"
"Tomato,Onion,MangoJuice"
"Shoes,Shirt,Shorts,WetWipes"
"WetWipes,Sunscreen,Shoes"
"Shoes,Shirt,Sunscreen,Heater"
"Heater,LightBulb,HardDisk"
"HardDisk,LightBulb,Heater,Mouse"
"Chips,Chocolates,MangoJuice"
"Chips,Chocolates,MangoJuice"
"Mouse,Heater,HardDisk,LightBulb"
"Shirt,Shoes,Mouse,LightBulb"
"Shorts,Shirt,Shoes"
"Chips,Eggs,Chocolates,Tomato"
"WetWipes,Sunscreen,Shoes,Shirt"
"Chips,Onion,Tomato,Eggs"
"Mouse,Milk,Onion,Tomato"
"Heater,LightBulb,Eggs,Chocolates"
